month,QQQ,QQQI,QYLD
2024-01,0.064299,0.047718,0.032122
2024-02,0.091886,0.073435,0.050128
2024-03,0.069602,0.056405,0.037768
2024-04,-0.025793,-0.026029,-0.022897
2024-05,-0.044676,-0.042741,-0.038201
2024-06,0.021024,0.013448,0.005690
2024-07,0.056761,0.044282,0.025873
2024-08,0.040913,0.030052,0.015174
2024-09,0.099463,0.076590,0.049300
2024-10,0.051788,0.030934,0.029889
2024-11,0.046789,0.040890,0.023307
2024-12,-0.014910,-0.014252,-0.012926
2025-01,-0.031847,-0.026896,-0.039490
2025-02,0.084798,0.062204,0.042987
2025-03,0.020201,0.013432,0.006473
2025-04,0.054518,0.042196,0.034361
2025-05,-0.043939,-0.037565,-0.040392
2025-06,-0.001637,-0.002332,0.002161
2025-07,-0.040099,-0.037903,-0.040331
2025-08,-0.016906,-0.012979,-0.014454
2025-09,0.058638,0.039911,0.031950
2025-10,-0.048626,-0.051280,-0.050004
2025-11,-0.006034,-0.004032,-0.008024
2025-12,0.025370,0.016092,0.012226
2026-01,-0.012081,-0.018917,-0.014503
2026-02,0.006647,0.001663,0.000946
2026-03,0.008016,0.004062,0.002875
2026-04,0.036816,0.022471,0.015494
2026-05,-0.001406,-0.007278,0.001659
2026-06,0.030252,0.022533,0.008742
